Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins
Fraser Forster,Goalkeepers,180,2022-2023 Champions League,26.6,25.0,26.0,50.0,0.5,0.0,8.5,0.0,0.0,1.5,0.5,0.0,5.0,0.5,17.8,10.0,0.5,0.0,0.5,0.4,33.3,22.5,4.5,1.5,0.0,0.0,0.0,0.0,1.0,85.7,,3.0,3.5,8.0,0.0
Fraser Forster,Goalkeepers,360,2024-2025 Europa League,23.8,13.9,23.7,25.0,0.25,0.25,17.75,1.25,7.0,1.5,0.5,0.0,7.5,1.5,12.7,20.0,0.25,0.0,0.25,0.32,27.3,31.5,5.5,1.5,0.0,0.0,0.0,0.0,1.75,75.0,,4.5,6.0,5.75,0.25
Fraser Forster,Goalkeepers,630,2019-2020 Europa League,41.8,16.3,63.3,14.3,0.14,0.0,12.43,0.0,0.0,1.0,0.29,0.0,7.57,1.14,57.9,92.5,0.14,0.0,0.21,0.28,27.1,20.71,19.0,5.14,0.14,0.29,0.0,0.14,1.36,75.0,50.0,2.71,4.0,3.43,0.57
Fraser Forster,Goalkeepers,630,2024-2025 Premier League,27.2,11.1,14.6,14.3,0.14,0.14,11.57,0.57,4.9,0.43,0.29,0.0,8.0,2.14,21.3,1.8,0.57,0.0,0.21,0.36,35.5,20.14,4.43,1.57,0.29,0.29,0.0,0.0,2.36,69.0,0.0,3.86,6.0,4.29,0.14
Fraser Forster,Goalkeepers,720,2020-2021 Premier League,35.3,15.6,44.2,25.0,0.25,0.13,17.75,0.75,4.2,1.75,0.0,0.0,8.0,1.38,44.0,67.2,0.5,0.0,-0.15,0.23,22.4,25.88,16.75,3.75,0.25,0.38,0.0,0.13,1.23,71.0,33.3,2.38,3.88,3.5,0.5
Fraser Forster,Goalkeepers,990,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",25.6,12.5,17.8,18.2,0.18,0.18,13.82,0.82,5.9,0.82,0.36,0.0,7.82,1.91,17.2,8.1,0.45,0.0,0.23,0.35,32.1,24.27,4.82,1.55,0.18,0.18,0.0,0.0,2.14,71.2,0.0,4.09,6.0,4.82,0.18
Fraser Forster,Goalkeepers,1215,2022-2023 Premier League,30.2,15.2,37.6,23.1,0.22,0.3,14.3,0.37,2.6,1.19,0.22,0.07,6.89,1.78,29.0,49.5,0.37,0.0,-0.2,0.34,29.0,19.93,9.19,2.67,0.15,0.22,0.0,0.07,1.58,60.0,33.3,2.22,4.07,5.26,0.37
Fraser Forster,Goalkeepers,1710,2021-2022 Premier League,39.6,12.3,49.5,15.8,0.16,0.26,15.0,1.0,6.7,1.26,0.26,0.0,7.37,1.84,50.1,70.7,0.42,0.11,-0.03,0.31,31.8,24.26,17.37,5.53,0.11,0.11,0.0,0.0,1.71,67.3,0.0,3.58,5.32,3.74,0.32
Fraser Forster,Goalkeepers,1800,2017-2018 Premier League,43.4,14.1,59.1,20.0,0.2,0.1,12.9,0.5,3.9,0.7,0.35,0.05,7.3,1.5,59.7,87.7,0.45,0.0,-0.21,0.26,29.4,18.0,17.15,5.05,0.0,0.05,0.0,0.05,1.29,69.1,100.0,3.3,4.85,3.1,0.2
Guglielmo Vicario,Goalkeepers,180,2024-2025 Europa League,22.9,15.5,21.7,50.0,0.5,0.0,19.0,1.5,7.9,2.0,0.0,0.0,6.0,0.5,8.7,8.3,0.0,0.0,0.45,0.19,28.6,34.5,3.5,1.0,0.0,0.5,0.5,0.0,0.95,90.0,,4.5,5.0,9.0,1.0
