Player,Versus,BasedOnMinutes,scouting_period,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
Sam Johnstone,Goalkeepers,810,2022-2023 Premier League,41.0,55.0,48.0,79.0,79.0,5.0,23.0,2.0,2.0,55.0,88.0,75.0,16.0,88.0,41.0,48.0,13.0,27.0,84.0,7.0,27.0,45.0,38.0,43.0,5.0,84.0,39.0,25.0,73.0,91.0,25.0,41.0,23.0,45.0,66.0
Sam Johnstone,Goalkeepers,990,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",91.0,45.0,85.0,5.0,6.0,1.0,86.0,72.0,50.0,72.0,58.0,70.0,35.0,9.0,91.0,91.0,92.0,11.0,2.0,53.0,40.0,64.0,94.0,91.0,18.0,68.0,40.0,27.0,31.0,4.0,27.0,36.0,65.0,13.0,1.0
Sam Johnstone,Goalkeepers,1796,2023-2024 Premier League,94.0,14.0,92.0,80.0,80.0,55.0,89.0,73.0,61.0,14.0,89.0,64.0,64.0,70.0,92.0,92.0,67.0,52.0,20.0,36.0,36.0,17.0,80.0,73.0,55.0,39.0,45.0,41.0,89.0,14.0,41.0,14.0,11.0,8.0,27.0
Sam Johnstone,Goalkeepers,3239,2021-2022 Championship,84.0,99.0,60.0,88.0,82.0,74.0,5.0,5.0,16.0,97.0,76.0,58.0,18.0,86.0,84.0,57.0,24.0,55.0,57.0,73.0,97.0,78.0,80.0,89.0,59.0,45.0,47.0,72.0,93.0,30.0,68.0,1.0,1.0,39.0,59.0
Sam Johnstone,Goalkeepers,3330,2020-2021 Premier League,90.0,56.0,90.0,10.0,10.0,33.0,90.0,25.0,8.0,67.0,71.0,2.0,85.0,2.0,87.0,94.0,94.0,12.0,33.0,48.0,25.0,56.0,98.0,94.0,27.0,90.0,94.0,63.0,2.0,56.0,62.0,98.0,98.0,67.0,2.0
Sam Johnstone,Goalkeepers,4140,2018-2019 Championship,24.0,94.0,19.0,29.0,29.0,45.0,57.0,34.0,28.0,87.0,35.0,56.0,43.0,45.0,22.0,17.0,26.0,33.0,69.0,51.0,83.0,85.0,20.0,50.0,71.0,66.0,94.0,67.0,38.0,56.0,77.0,83.0,78.0,45.0,85.0
Sam Johnstone,Goalkeepers,4140,2019-2020 Championship,46.0,86.0,26.0,65.0,71.0,34.0,21.0,8.0,6.0,79.0,86.0,43.0,26.0,89.0,49.0,26.0,4.0,11.0,81.0,23.0,74.0,46.0,34.0,46.0,50.0,50.0,44.0,75.0,89.0,79.0,73.0,41.0,19.0,41.0,86.0
Scott Carson,Goalkeepers,2700,vs. Goalkeepers,17.0,45.0,29.0,24.0,26.0,52.0,34.0,16.0,20.0,38.0,43.0,43.0,80.0,50.0,16.0,29.0,38.0,23.0,10.0,35.0,59.0,87.0,27.0,41.0,80.0,13.0,42.0,24.0,87.0,16.0,24.0,20.0,21.0,52.0,71.0
Stefan Ortega,Goalkeepers,180,2022-2023 Champions League,3.0,95.0,29.0,73.0,74.0,6.0,1.0,37.0,99.0,99.0,88.0,53.0,21.0,91.0,6.0,12.0,8.0,58.0,35.0,5.0,97.0,16.0,3.0,9.0,74.0,21.0,47.0,38.0,97.0,85.0,,27.0,12.0,7.0,69.0
Stefan Ortega,Goalkeepers,180,2024-2025 Champions League,5.0,95.0,14.0,98.0,98.0,77.0,1.0,39.0,80.0,60.0,26.0,58.0,6.0,98.0,1.0,2.0,7.0,59.0,51.0,1.0,1.0,13.0,1.0,1.0,73.0,24.0,47.0,42.0,99.0,98.0,,2.0,1.0,1.0,96.0
Stefan Ortega,Goalkeepers,270,2023-2024 Champions League,19.0,94.0,92.0,21.0,21.0,18.0,4.0,8.0,8.0,94.0,77.0,58.0,22.0,12.0,29.0,86.0,6.0,5.0,4.0,55.0,71.0,99.0,71.0,81.0,74.0,22.0,46.0,44.0,55.0,6.0,,42.0,53.0,95.0,91.0
Stefan Ortega,Goalkeepers,635,2023-2024 Premier League,30.0,67.0,17.0,98.0,95.0,80.0,11.0,42.0,77.0,80.0,17.0,64.0,2.0,89.0,39.0,20.0,5.0,86.0,92.0,89.0,83.0,61.0,27.0,52.0,92.0,6.0,45.0,41.0,70.0,89.0,,30.0,20.0,14.0,73.0
Stefan Ortega,Goalkeepers,720,2024-2025 Premier League,9.0,94.0,13.0,67.0,67.0,54.0,13.0,6.0,6.0,46.0,80.0,63.0,50.0,69.0,9.0,17.0,35.0,70.0,43.0,52.0,98.0,46.0,13.0,39.0,39.0,59.0,50.0,37.0,74.0,76.0,37.0,50.0,43.0,43.0,50.0
Stefan Ortega,Goalkeepers,1452,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",6.0,90.0,7.0,95.0,94.0,59.0,4.0,17.0,34.0,68.0,68.0,70.0,18.0,88.0,14.0,14.0,5.0,27.0,76.0,67.0,98.0,56.0,13.0,28.0,76.0,11.0,40.0,27.0,81.0,68.0,27.0,29.0,18.0,28.0,75.0
Stefan Ortega,Goalkeepers,2790,2018-2019 2. Bundesliga,52.0,65.0,65.0,48.0,48.0,25.0,2.0,73.0,81.0,69.0,46.0,27.0,2.0,44.0,46.0,52.0,33.0,75.0,31.0,54.0,81.0,98.0,94.0,98.0,54.0,40.0,46.0,29.0,65.0,33.0,29.0,40.0,35.0,35.0,73.0
Stefan Ortega,Goalkeepers,2970,2021-2022 Bundesliga,86.0,80.0,70.0,38.0,38.0,46.0,84.0,12.0,4.0,46.0,90.0,44.0,98.0,50.0,86.0,58.0,70.0,42.0,90.0,36.0,90.0,98.0,94.0,94.0,14.0,82.0,42.0,36.0,18.0,98.0,36.0,94.0,86.0,2.0,10.0
Stefan Ortega,Goalkeepers,3060,2017-2018 2. Bundesliga,70.0,86.0,74.0,90.0,90.0,76.0,34.0,94.0,98.0,94.0,70.0,56.0,10.0,58.0,74.0,74.0,30.0,66.0,50.0,28.0,78.0,98.0,98.0,98.0,78.0,16.0,46.0,24.0,50.0,64.0,24.0,74.0,74.0,42.0,46.0
