"","Player","age"
"401","Morgan Gibbs-White",25.041095890411
"402","Callum Hudson-Odoi",24.2630136986301
"403","Jota Silva",25.5315068493151
"404","Ramón Sosa",25.4493150684931
"405","Anthony Elanga",22.7945205479452
"406","Eric da Silva Moreira",18.7780821917808
"407","Taiwo Awoniyi",27.5013698630137
"408","Chris Wood",33.1808219178082
"409","Emmanuel Dennis",27.241095890411
"410","Aaron Ramsdale",26.7479452054795
"411","Gavin Bazunu",22.9754098360656
"412","Joe Lumley",29.9890710382514
"413","Alex McCarthy",35.1917808219178
"414","Taylor Harwood-Bellis",23.0328767123288
"415","Armel Bella-Kotchap",23.1698630136986
"416","Jan Bednarek",28.8356164383562
"417","Nathan Wood",22.7013698630137
"418","Jack Stephens",31.041095890411
"419","Joachim Kayi Sanda",18.2027397260274
"420","Juan Larios",21.0821917808219
"421","Ryan Manning",28.6630136986301
"422","Welington",23.9781420765027
"423","Charlie Taylor",31.4
"424","Kyle Walker-Peters",27.8328767123288
"425","Yukinari Sugawara",24.6246575342466
"426","James Bree",27.1698630136986
"427","Lesley Ugochukwu",20.8821917808219
"428","Flynn Downes",26.0602739726027
"429","Mateus Fernandes",20.5917808219178
"430","Will Smallbone",24.9726775956284
"431","Joe Aribo",28.5616438356164
"432","Adam Lallana",36.758904109589
"433","Kamaldeen Sulemana",22.9890710382514
"434","Maxwel Cornet",28.3753424657534
"435","Ryan Fraser",30.9644808743169
"436","Tyler Dibling",18.983606557377
"437","Samuel Amo-Ameyaw",18.5698630136986
"438","Adam Armstrong",28.0027397260274
"439","Cameron Archer",23.1753424657534
"440","Paul Onuachu",30.7095890410959
"441","Ben Brereton Díaz",25.8191780821918
"442","Ross Stewart",28.5890410958904
"443","André Onana",28.8630136986301
"444","Altay Bayındır",26.8301369863014
"445","Tom Heaton",38.827397260274
"446","Leny Yoro",19.2465753424658
"447","Lisandro Martínez",27.0657534246575
"448","Matthijs de Ligt",25.5013698630137
"449","Harry Maguire",31.9397260273973
"450","Victor Lindelöf",30.572602739726
"451","Jonny Evans",37.1068493150685
"452","Luke Shaw",29.586301369863
"453","Tyrell Malacia",25.4876712328767
"454","Diogo Dalot",25.9041095890411
"455","Noussair Mazraoui",27.2438356164384
"456","Manuel Ugarte",23.8383561643836
"457","Casemiro",32.9672131147541
"458","Toby Collyer",21.1068493150685
"459","Kobbie Mainoo",19.8164383561644
"460","Christian Eriksen",32.9918032786885
"461","Daniel Gore",20.3780821917808
"462","Bruno Fernandes",30.427397260274
"463","Mason Mount",26.0876712328767
"464","Marcus Rashford",27.2821917808219
"465","Alejandro Garnacho",20.6164383561644
"466","Amad Diallo",22.5890410958904
"467","Antony",24.9644808743169
"468","Rasmus Højlund",22.0191780821918
"469","Joshua Zirkzee",23.7260273972603
"470","Guglielmo Vicario",28.3479452054795
"471","Antonín Kinský",21.9178082191781
"472","Fraser Forster",36.9068493150685
"473","Brandon Austin",26.0931506849315
"474","Alfie Whiteman",26.3616438356164
"475","Cristian Romero",26.7945205479452
"476","Micky van de Ven",23.8164383561644
"477","Radu Drăgușin",23.0219178082192
"478","Ben Davies",31.8027397260274
"479","Destiny Udogie",22.2054794520548
"480","Sergio Reguilón",28.1561643835616
"481","Pedro Porro",25.413698630137
"482","Archie Gray",18.9205479452055
"483","Djed Spence",24.5095890410959
"484","Yves Bissouma",28.4520547945205
"485","Rodrigo Bentancur",27.6328767123288
"486","Pape Matar Sarr",22.4109589041096
"487","Lucas Bergvall",19.0246575342466
"488","James Maddison",28.2191780821918
"489","Dejan Kulusevski",24.8
"490","Heung-min Son",32.5972602739726
"491","Timo Werner",28.9369863013699
"492","Mikey Moore",17.5041095890411
"493","Brennan Johnson",23.7232876712329
"494","Wilson Odobert",20.2054794520548
"495","Min-hyeok Yang",18.8246575342466
"496","Dominic Solanke",27.4109589041096
"497","Richarlison",27.758904109589
"498","Will Lankshear",19.813698630137
"499","Alphonse Areola",31.9562841530055
"500","Wes Foderingham",34.0767123287671
"501","Lukasz Fabianski",39.8191780821918
"502","Maximilian Kilman",27.7232876712329
"503","Jean-Clair Todibo",25.1178082191781
"504","Konstantinos Mavropanos",27.1698630136986
"505","Kaelan Casey",20.2904109589041
"506","Emerson",30.5260273972603
"507","Aaron Cresswell",35.158904109589
"508","Aaron Wan-Bissaka",27.2109589041096
"509","Vladimír Coufal",32.4739726027397
"510","Edson Álvarez",27.3013698630137
"511","Tomas Soucek",29.9562841530055
"512","Guido Rodríguez",30.8356164383562
"513","Carlos Soler",28.1095890410959
"514","Andy Irving",24.7506849315069
"515","Lucas Paquetá",27.4602739726027
"516","Crysencio Summerville",23.2849315068493
"517","Mohammed Kudus",24.5287671232877
"518","Jarrod Bowen",28.1452054794521
"519","Luis Guilherme",19.0054794520548
"520","Niclas Füllkrug",32.0054794520548
"521","Danny Ings",32.5561643835616
"522","Michail Antonio",34.8767123287671
"523","José Sá",32.0684931506849
"524","Sam Johnstone",31.8849315068493
"525","Daniel Bentley",31.5835616438356
"526","Tom King",29.9287671232877
"527","Toti",26.0712328767123
"528","Emmanuel Agbadou",27.6547945205479
"529","Santiago Bueno",26.2575342465753
"530","Yerson Mosquera",23.7808219178082
"531","Bastien Meupiyou",18.9013698630137
"532","Craig Dawson",34.7698630136986
"533","Rayan Aït-Nouri",23.6849315068493
"534","Nélson Semedo",31.2383561643836
"535","Pedro Lima",18.6164383561644
"536","Matt Doherty",33.0712328767123
"537","André",23.5753424657534
"538","Mario Lemina",31.4465753424658
"539","Boubacar Traoré",23.4794520547945
"540","João Gomes",23.9972677595628
"541","Jean-Ricner Bellegarde",26.627397260274
"542","Tommy Doyle",23.3205479452055
"543","Luke Cundle",22.7972602739726
"544","Rodrigo Gomes",21.6
"545","Tawanda Chirewa",21.3342465753425
"546","Gonçalo Guedes",28.2027397260274
"547","Carlos Forbs",20.9013698630137
"548","Enso González",20.0602739726027
"549","Pablo Sarabia",32.7561643835616
"550","Matheus Cunha",25.7123287671233
"551","Jørgen Strand Larsen",25.013698630137
"552","Hee-chan Hwang",29.0438356164384
"553","Sasa Kalajdzic",27.6
"554","Nathan Fraser",19.9699453551913
