"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/axel-witsel/profil/spieler/35047","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","28","Axel Witsel","Centre-Back",1989-01-12,31,"Belgium","Atlético de Madrid","1.86","right","2018-08-06","Tianjin Tianhai (-2019)",NA,21500000
"2019","https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757","Bundesliga","Europe","Germany",2019,"Hertha BSC","7","Krzysztof Piatek","Centre-Forward",1995-07-01,24,"Poland","Basaksehir FK","1.83","right","2020-01-30","AC Milan",NA,21500000
"2019","https://www.transfermarkt.com/wout-weghorst/profil/spieler/228645","Bundesliga","Europe","Germany",2019,"VfL Wolfsburg","9","Wout Weghorst","Centre-Forward",1992-08-07,27,"Netherlands","Ajax Amsterdam","1.97","right","2018-07-01","AZ Alkmaar",NA,21500000
"2019","https://www.transfermarkt.com/florian-grillitsch/profil/spieler/195736","Bundesliga","Europe","Germany",2019,"TSG 1899 Hoffenheim","11","Florian Grillitsch","Defensive Midfield",1995-08-07,24,"Austria","Real Valladolid CF","1.87","right","2023-07-01","Ajax Amsterdam",NA,2e+07
"2019","https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","16","Manuel Akanji","Centre-Back",1995-07-19,24,"Switzerland","Manchester City","1.88","right","2018-01-15","FC Basel 1893",NA,2e+07
"2019","https://www.transfermarkt.com/nordi-mukiele/profil/spieler/348026","Bundesliga","Europe","Germany",2019,"RB Leipzig","22","Nordi Mukiele","Right-Back",1997-11-01,22,"France","Bayer 04 Leverkusen","1.87","right","2018-07-01","Montpellier HSC",NA,2e+07
"2019","https://www.transfermarkt.com/patrik-schick/profil/spieler/242086","Bundesliga","Europe","Germany",2019,"RB Leipzig","21","Patrik Schick","Centre-Forward",1996-01-24,24,"Czech Republic","Bayer 04 Leverkusen","1.91","left","2019-09-02","AS Roma",NA,2e+07
"2019","https://www.transfermarkt.com/suat-serdar/profil/spieler/261905","Bundesliga","Europe","Germany",2019,"FC Schalke 04","8","Suat Serdar","Central Midfield",1997-04-11,23,"Germany","Hellas Verona","1.84","right","2018-07-01","1.FSV Mainz 05",NA,2e+07
"2019","https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697","Bundesliga","Europe","Germany",2019,"FC Schalke 04","2","Weston McKennie","Central Midfield",1998-08-28,21,"United States","Juventus FC","1.85","right","2017-07-01","FC Schalke 04 U19",NA,2e+07
"2019","https://www.transfermarkt.com/julian-weigl/profil/spieler/196792","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","33","Julian Weigl","Defensive Midfield",1995-09-08,24,"Germany","Borussia Mönchengladbach","1.86","right","2015-07-01","TSV 1860 Munich",NA,18500000
